,Forecast
2012-10-01,171.58730942910495
2012-11-01,284.86481250458723
2012-12-01,329.86020587646937
2013-01-01,253.55149073764733
2013-02-01,116.35555071833011
2013-03-01,201.33524366093303
2013-04-01,176.13603941765538
2013-05-01,186.57436964324125
2013-06-01,142.30546991958101
2013-07-01,164.70695613111425
2013-08-01,161.90178016884997
2013-09-01,163.85798943949465
2013-10-01,174.39441378240616
2013-11-01,282.0899056304993
2013-12-01,332.61375518269404
2014-01-01,260.55704391130075
2014-02-01,118.56904378230327
2014-03-01,197.4994124536724
2014-04-01,173.45310790882985
2014-05-01,183.01585388559135
2014-06-01,146.8810110539325
2014-07-01,166.96846183965977
2014-08-01,164.53900609131176
2014-09-01,167.05311374714424
